id_libro,titulo_libro,precio_libro,calificacion_libro,categoria,autores
37,Extreme Prey (Lucas Davenport #26),25.4,3,Mystery,Pulitzer Prize
38,Career of Evil (Cormoran Strike #3),24.72,2,Mystery,J. K. Rowling
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,Mystery,Alexander McCall Smith
40,The Girl You Lost,12.29,5,Mystery,Riri Sagara
41,The Girl In The Ice (DCI Erika Foster #1),15.85,3,Mystery,Robert Rodriguez
42,Blood Defense (Samantha Brinkman #1),20.3,3,Mystery,Marcia Clark
43,1st to Die (Women's Murder Club #1),53.98,1,Mystery,James Patterson
44,Tipping the Velvet,53.74,1,Historical Fiction,Charles Dickens
45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,Historical Fiction,Autor Desconocido
46,A Flight of Arrows (The Pathfinders #2),55.53,5,Historical Fiction,Avro Canada
47,The House by the Lake,36.95,1,Historical Fiction,Josh Burnell. The
48,Mrs. Houdini,30.25,5,Historical Fiction,Philip Yordan
49,The Marriage of Opposites,28.08,4,Historical Fiction,Autor Desconocido
50,Glory over Everything: Beyond The Kitchen House,45.84,3,Historical Fiction,Kaz Ayabe
51,"Love, Lies and Spies",20.55,2,Historical Fiction,Joseph Kahn
52,A Paris Apartment,39.01,4,Historical Fiction,Michelle Gable. Set
53,Lilac Girls,17.28,2,Historical Fiction,Ayano Takeda
54,The Constant Princess (The Tudor Court #1),16.62,3,Historical Fiction,Philippa Gregory
55,The Invention of Wings,37.34,1,Historical Fiction,Autor Desconocido
56,World Without End (The Pillars of the Earth #2),32.97,4,Historical Fiction,Richard Heermance
57,The Passion of Dolssa,28.32,5,Historical Fiction,Autor Desconocido
58,Girl With a Pearl Earring,26.77,1,Historical Fiction,Johannes Vermeer
59,Voyager (Outlander #3),21.07,5,Historical Fiction,Rick Berman
60,The Red Tent,35.66,5,Historical Fiction,Anita Diamant
61,The Last Painting of Sara de Vos,55.55,2,Historical Fiction,Australian Independent Booksellers
62,The Guernsey Literary and Potato Peel Pie Society,49.53,1,Historical Fiction,Kevin Hood
63,Girl in the Blue Coat,46.83,2,Historical Fiction,Autor Desconocido
64,Between Shades of Gray,20.79,5,Historical Fiction,Kelly Marcel
65,While You Were Mine,41.32,5,Historical Fiction,Hamilton Leithauser
66,The Secret Healer,34.56,3,Historical Fiction,Rui Tsukiyo
67,Starlark,25.83,3,Historical Fiction,Leslie Lamport
68,Lost Among the Living,27.7,4,Historical Fiction,Jeffrey Lieber
69,A Spy's Devotion (The Regency Spies of London #1),16.97,5,Historical Fiction,Rolling Stone
70,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Sequential Art,Fourth Estate
71,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,Sequential Art,Yuki Kajiura
72,This One Summer,19.49,4,Sequential Art,Savage Steve Holland
73,The Nameless City (The Nameless City #1),38.16,4,Sequential Art,Autor Desconocido
74,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,Sequential Art,Dr. Kabapu
75,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,Sequential Art,Image Comics
76,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,Sequential Art,DC Comics
77,"Pop Gun War, Volume 1: Gift",18.97,1,Sequential Art,The Lucky Ones
78,Patience,10.16,3,Sequential Art,Autor Desconocido
79,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,Sequential Art,Marvel Studios
80,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,Sequential Art,Columbia Records
81,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,Sequential Art,Shannon Watters
82,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,Sequential Art,Shannon Watters
83,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,Sequential Art,Becky Cloonan
84,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,Sequential Art,Autor Desconocido
85,I am a Hero Omnibus Volume 1,54.63,3,Sequential Art,Kengo Hanazawa
86,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,Sequential Art,Marvel Comics
87,Danganronpa Volume 1,51.99,4,Sequential Art,Takekuni Kitayama
88,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,Sequential Art,Warren Ellis
89,Camp Midnight,17.08,4,Sequential Art,Will Duffy
90,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,Sequential Art,Alan Moore
91,The Shadow Hero (The Shadow Hero),33.14,1,Sequential Art,Rural Home Publications
92,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,Sequential Art,Bill Willingham
93,Batman: The Long Halloween (Batman),36.5,2,Sequential Art,Jeph Loeb
94,Batman: The Dark Knight Returns (Batman),15.38,5,Sequential Art,Jay Oliva
95,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,Sequential Art,Geoff Johns
96,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,Sequential Art,DC Comics
97,Through the Woods,25.38,2,Sequential Art,Joe DiPietro
98,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,Sequential Art,Kirk Alyn
99,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,Sequential Art,Viz Media
100,Robin War,47.82,3,Sequential Art,DC Comics
101,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,Sequential Art,Jim Starlin
102,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,Sequential Art,Masashi Koizuka
103,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,Sequential Art,Steve Kirk
104,El Deafo,57.62,5,Sequential Art,Cece Bell
105,Batman: Europa,32.01,2,Sequential Art,Brian Azzarello
106,Art Ops Vol. 1,48.8,3,Sequential Art,Marvel Comics
107,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,Sequential Art,Autor Desconocido
108,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,Sequential Art,Natsuki Takaya
109,Roller Girl,14.1,5,Sequential Art,Justin Herman.
110,"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1,Sequential Art,Natsuki Takaya
111,"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4,Sequential Art,Natsuki Takaya
112,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3,Sequential Art,Tsugumi Ohba
113,"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1,Sequential Art,Natsuki Takaya
114,"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1,Sequential Art,Sylvester Stallone. Later
115,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2,Sequential Art,Masashi Kishimoto
116,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4,Sequential Art,Natsuki Takaya
117,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3,Sequential Art,Image Comics
118,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5,Sequential Art,Mike Carey
119,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5,Sequential Art,Dr. Kabapu
120,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3,Sequential Art,Walt Disney Pictures
121,Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1,Sequential Art,Marjane Satrapi
122,Original Fake,31.45,3,Sequential Art,Capitol Records
123,"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1,Sequential Art,DC Comics
124,"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2,Sequential Art,Natsuki Takaya
125,"Black Butler, Vol. 1 (Black Butler #1)",49.31,1,Sequential Art,Yana Toboso
126,Awkward,38.02,2,Sequential Art,Autor Desconocido
127,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1,Sequential Art,Mike Carey
128,"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3,Sequential Art,Dr. Kabapu
129,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,Sequential Art,Natsuki Takaya
130,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,Sequential Art,Autor Desconocido
131,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2,Sequential Art,Christopher Marlowe
132,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3,Sequential Art,Mike Carey
133,The Complete Maus (Maus #1-2),10.64,3,Sequential Art,Autor Desconocido
134,"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,3,Sequential Art,Autor Desconocido
135,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,1,Sequential Art,Brian K. Vaughan
136,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5,Sequential Art,Image Comics
137,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4,Sequential Art,Image Comics
138,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3,Sequential Art,Bisco Hatori
139,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4,Sequential Art,Marvel Comics
140,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,3,Sequential Art,James Gunn
141,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4,Sequential Art,Marvel Comics
142,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5,Sequential Art,Natsuki Takaya
143,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5,Sequential Art,Tite Kubo
144,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4,Sequential Art,Gamon Sakurai
145,The Secret Garden,15.08,4,Classics,M. L. Kirk
146,The Metamorphosis,28.58,1,Classics,Kurt Wolff
147,The Pilgrim's Progress,50.26,2,Classics,John Bunyan
148,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2,Classics,Sir Arthur Conan Doyle
149,Little Women (Little Women #1),28.07,4,Classics,Andrew Solt
150,Gone with the Wind,32.49,3,Classics,Margaret Mitchell
151,Candide,58.63,3,Classics,Lillian Hellman
152,Animal Farm,57.22,3,Classics,George Orwell
153,Wuthering Heights,17.73,3,Classics,Emerald Fennell
154,The Picture of Dorian Gray,29.7,2,Classics,Basil Hallward
155,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4,Classics,James Fenton
156,Beowulf,38.35,2,Classics,Neil Gaiman
157,And Then There Were None,35.01,2,Classics,Harry Alan Towers
158,The Story of Hong Gildong,43.19,4,Classics,Autor Desconocido
159,The Little Prince,45.42,2,Classics,Alan Jay Lerner
160,Sense and Sensibility,37.46,1,Classics,Andrew Davies
161,Of Mice and Men,47.11,2,Classics,Joey Sturgis
162,Emma,32.93,2,Classics,Marvel Comics
163,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1,Classics,Lewis Carroll
164,Sophie's World,15.94,5,Philosophy,Jostein Gaarder
165,The Death of Humanity: and the Case for Life,58.11,4,Philosophy,Jonathan Swift
166,The Stranger,17.44,4,Philosophy,Columbia Records
167,Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1,Philosophy,Saint Ambrose
168,Kierkegaard: A Christian Missionary to Christians,47.13,1,Philosophy,Autor Desconocido
169,"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5,Philosophy,Autor Desconocido
170,Critique of Pure Reason,20.75,1,Philosophy,Autor Desconocido
171,"Run, Spot, Run: The Ethics of Keeping Pets",20.02,1,Philosophy,Ingrid Newkirk
172,The Nicomachean Ethics,36.34,1,Philosophy,Albertus Magnus
173,Meditations,25.89,2,Philosophy,Marcus Aurelius
174,Beyond Good and Evil,43.38,1,Philosophy,Helen Zimmern
175,Chase Me (Paris Nights #2),25.27,5,Romance,Kid Koala
176,Black Dust,34.53,5,Romance,Autor Desconocido
177,Her Backup Boyfriend (The Sorensen Family #1),33.97,1,Romance,Dave Meyers
178,First and First (Five Boroughs #3),15.97,4,Romance,Ronald K.L. Collins
179,Fifty Shades Darker (Fifty Shades #2),21.96,1,Romance,Niall Leonard
180,The Wedding Dress,24.12,1,Romance,Autor Desconocido
181,Suddenly in Love (Lake Haven #1),55.99,2,Romance,Wong Jing
182,Something More Than This,16.24,4,Romance,Jason Isbell
183,Doing It Over (Most Likely To #1),35.61,3,Romance,Virgin Records
184,The Wedding Pact (The O'Malleys #2),32.61,3,Romance,Matt Berman
185,Hold Your Breath (Search and Rescue #1),28.82,1,Romance,Rich Lee
186,Dirty (Dive Bar #1),40.83,4,Romance,Eleanor Bergstein
187,Take Me Home Tonight (Rock Star Romance #3),53.98,3,Romance,Eddie Money
188,Off the Hook (Fishing for Trouble #1),47.67,3,Romance,Jermaine Dupri
189,A Gentleman's Position (Society of Gentlemen #3),14.75,5,Romance,Steven Lutvak
190,"Sit, Stay, Love",20.9,3,Romance,Holly Hester
191,A Girl's Guide to Moving On (New Beginnings #2),31.3,1,Romance,Autor Desconocido
192,The Perfect Play (Play by Play #1),59.99,3,Romance,Warren Manzi
193,Dark Lover (Black Dagger Brotherhood #1),12.87,1,Romance,Jess Walter
194,Changing the Game (Play by Play #2),13.38,3,Romance,Rel Dowdell
195,A Walk to Remember,56.43,1,Romance,Karen Janszen
196,The Purest Hook (Second Circle Tattoos #3),12.25,1,Romance,Ravi K. Chandran
197,The Obsession,45.43,1,Romance,Shyam Benegal
198,Reservations for Two,11.1,3,Romance,Tena Clark
199,Best of My Love (Fool's Gold #20),27.41,2,Romance,Don Henley
200,Where Lightning Strikes (Bleeding Stars #3),39.77,3,Romance,Autor Desconocido
201,This One Moment (Pushing Limits #1),48.71,1,Romance,Jesse Landry
202,"Rhythm, Chord & Malykhin",28.34,2,Romance,Autor Desconocido
203,My Perfect Mistake (Over the Top #1),38.92,2,Romance,Nicole Conn
204,Listen to Me (Fusion #1),58.99,3,Romance,Buddy Holly
205,Imperfect Harmony,34.74,4,Romance,Autor Desconocido
206,Fighting Fate (Fighting #6),39.24,3,Romance,Arista Records
207,Deep Under (Walker Security #1),47.09,5,Romance,Wolf Entertainment
208,Charity's Cross (Charles Towne Belles #4),41.24,1,Romance,Autor Desconocido
209,Bounty (Colorado Mountain #7),37.26,4,Romance,Arech Dragonbreath
210,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,Womens Fiction,Ian Fleming
211,Will You Won't You Want Me?,13.86,3,Womens Fiction,Harlan Coben
212,Keep Me Posted,20.46,4,Womens Fiction,Paul Stolper Gallery
213,Grey (Fifty Shades #4),48.49,4,Womens Fiction,Guy Ritchie
214,Meternity,43.58,3,Womens Fiction,Autor Desconocido
215,Some Women,13.73,5,Womens Fiction,Autor Desconocido
216,Shopaholic Ties the Knot (Shopaholic #3),48.39,5,Womens Fiction,Sophie Kinsella
217,Can You Keep a Secret?,21.94,1,Womens Fiction,Simon Mayhew-Archer
218,Twenties Girl,42.8,2,Womens Fiction,Jerry Wald
219,The Undomestic Goddess,45.75,4,Womens Fiction,Autor Desconocido
220,The Nanny Diaries (Nanny #1),52.53,5,Womens Fiction,Autor Desconocido
221,The Devil Wears Prada (The Devil Wears Prada #1),44.29,1,Womens Fiction,Aline Brosh McKenna
222,Something Borrowed (Darcy & Rachel #1),48.96,5,Womens Fiction,Phil Ford
223,Something Blue (Darcy & Rachel #2),54.62,1,Womens Fiction,Luke Greenfield
224,I've Got Your Number,19.69,1,Womens Fiction,Warner Bros
225,The Edge of Reason (Bridget Jones #2),19.18,4,Womens Fiction,Andrew Davies
226,Bridget Jones's Diary (Bridget Jones #1),29.82,1,Womens Fiction,Helen Fielding
227,Soumission,50.1,1,Fiction,King Leopold II
228,Private Paris (Private #10),47.61,5,Fiction,Autor Desconocido
229,"We Love You, Charlie Freeman",50.27,5,Fiction,Turning Point USA
230,Thirst,17.27,5,Fiction,Park Chan-wook
231,The Murder That Never Was (Forensic Instincts #5),54.11,3,Fiction,Snoop Doggy Dogg
232,Tuesday Nights in 1980,21.04,2,Fiction,Ernest Tidyman
233,The Vacationers,42.15,4,Fiction,Electronic Arts
234,The Regional Office Is Under Attack!,51.36,5,Fiction,Manuel Gonzales
235,Finders Keepers (Bill Hodges Trilogy #2),53.53,5,Fiction,Richard Lester
236,The Time Keeper,27.88,5,Fiction,Robert Rodriguez
237,The Testament of Mary,52.67,4,Fiction,Autor Desconocido
238,The First Hostage (J.B. Collins #2),25.85,3,Fiction,Autor Desconocido
239,Take Me with You,45.21,3,Fiction,John Ratcliff
240,Still Life with Bread Crumbs,26.41,3,Fiction,Autor Desconocido
241,Shtum,55.84,4,Fiction,Rough Trade Records
242,My Name Is Lucy Barton,41.56,1,Fiction,Random House
243,My Mrs. Brown,24.48,3,Fiction,Thelma Ritter
244,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,Fiction,Finders Keepers
245,I Am Pilgrim (Pilgrim #1),10.6,4,Fiction,Norfolk Jubilee Quartet
246,Eligible (The Austen Project #4),27.09,3,Fiction,Gopi Sundar
247,Eight Hundred Grapes,14.39,4,Fiction,Autor Desconocido
248,Dear Mr. Knightley,11.21,5,Fiction,Ian McEwan
249,Cometh the Hour (The Clifton Chronicles #6),25.01,3,Fiction,Dark Horse Comics
250,Balloon Animals,17.03,3,Fiction,Autor Desconocido
251,A Man Called Ove,39.72,1,Fiction,David Magee
252,The Silent Sister (Riley MacPherson #1),46.29,5,Fiction,Konami Digital Entertainment
253,The Dinner Party,56.54,2,Fiction,Paul Feig
254,The Improbability of Love,59.45,1,Fiction,Autor Desconocido
255,Mothering Sunday,13.34,2,Fiction,Eva Husson
256,Lies and Other Acts of Love,45.14,1,Fiction,Mu Fusheng
257,Daredevils,16.34,3,Fiction,Mark Steven Johnson
258,11/22/63,48.48,3,Fiction,Stephen King
259,The Shack,28.03,1,Fiction,General Wireless
260,The High Mountains of Portugal,51.15,1,Fiction,Ang Lee
261,Miller's Valley,58.54,2,Fiction,Mike Judge
262,Hystopia: A Novel,21.96,4,Fiction,David Means
263,The Bourne Identity (Jason Bourne #1),42.78,4,Fiction,Matt Damon
264,Sister Dear,40.2,4,Fiction,Rob Cavallo
265,Memoirs of a Geisha,49.67,3,Fiction,Robin Swicord. The
266,Me Before You (Me Before You #1),19.02,1,Fiction,Jojo Moyes. It
267,Deception Point,40.32,4,Fiction,Lieutenant Commander D.N. Penfold
268,The Little Paris Bookshop,24.73,3,Fiction,George Whitman
269,The Firm,45.56,3,Fiction,Sydney Pollack
270,The Expatriates,44.58,2,Fiction,Lulu Wang
271,Siddhartha,34.22,5,Fiction,Autor Desconocido
272,Last One Home (New Beginnings #1),59.98,3,Fiction,John Ehle. The
273,Digital Fortress,58.0,5,Fiction,Autor Desconocido
274,Atlas Shrugged,26.58,5,Fiction,Ayn Rand
275,Three-Martini Lunch,23.21,3,Fiction,Autor Desconocido
276,The Nightingale,26.26,4,Fiction,Dana Stevens
277,The Infinities,27.41,1,Fiction,Christopher Markus
278,The Husband's Secret,52.51,5,Fiction,Liane Moriarty
279,The Da Vinci Code (Robert Langdon #2),22.96,2,Fiction,Dan Brown
280,The Art of Fielding,22.1,1,Fiction,Autor Desconocido
281,Lila (Gilead #3),12.47,3,Fiction,Martin Suter
282,Jurassic Park (Jurassic Park #1),44.97,1,Fiction,Michael Crichton
283,Inferno (Robert Langdon #4),41.0,5,Fiction,David Koepp. It
284,Crazy Rich Asians (Crazy Rich Asians #1),49.13,5,Fiction,Kevin Kwan
285,Big Little Lies,22.11,1,Fiction,David E. Kelley
286,The Course of Love,16.78,3,Fiction,Helen Schucman
287,When I'm Gone,51.96,3,Fiction,A. P. Carter
288,The Silent Wife,12.34,5,Fiction,Team Silent
289,The Bette Davis Club,30.66,3,Fiction,Susan Sarandon
290,Kitchens of the Great Midwest,57.2,5,Fiction,Viking Press
291,Bright Lines,39.07,5,Fiction,Autor Desconocido
292,Birdsong: A Story in Pictures,54.64,3,Childrens,Jean Terrell
293,The Bear and the Piano,36.89,1,Childrens,Animaccord Animation Studio
294,The Secret of Dreadwillow Carse,56.13,1,Childrens,Autor Desconocido
295,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4,Childrens,Sydney Smith
296,Little Red,13.47,3,Childrens,Charles Perrault
297,Walt Disney's Alice in Wonderland,12.96,5,Childrens,Walt Disney
298,Twenty Yawns,22.08,2,Childrens,Danny Boyle
299,Rain Fish,23.57,3,Childrens,Autor Desconocido
300,Once Was a Time,18.28,2,Childrens,Lewis Carroll
301,Luis Paints the World,53.95,3,Childrens,Two Women
302,Nap-a-Roo,25.08,1,Childrens,Keith Chapman
303,The Whale,35.96,4,Childrens,Samuel D. Hunter
304,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,3,Childrens,Autor Desconocido
305,Raymie Nightingale,34.41,2,Childrens,Autor Desconocido
306,Playing from the Heart,32.38,1,Childrens,Max Martin
307,Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,1,Childrens,Kelly Galuska.
308,The Wild Robot,56.07,3,Childrens,DreamWorks Animation
309,The Thing About Jellyfish,48.77,1,Childrens,Ali Benjamin
310,The Lonely Ones,43.59,5,Childrens,Autor Desconocido
311,The Day the Crayons Came Home (Crayons),26.33,5,Childrens,Oliver Jeffers
312,The Cat in the Hat (Beginner Books B-1),16.26,2,Childrens,William Spaulding
313,Red: The True Story of Red Riding Hood,28.54,3,Childrens,Charles Perrault
314,Horrible Bear!,37.52,2,Childrens,Adam Wingard
315,Green Eggs and Ham (Beginner Books B-16),10.79,4,Childrens,Dr. Seuss
316,Counting Thyme,10.62,1,Childrens,The Irish Times
317,Are We There Yet?,10.66,3,Childrens,Hank Nelken
318,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,4,Childrens,Autor Desconocido
319,Matilda,28.34,1,Childrens,Jonathan Cape
320,Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,3,Childrens,Alfred A. Knopf
321,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,Religion,Autor Desconocido
322,You Are What You Love: The Spiritual Power of Habit,21.87,4,Religion,Saint Paul
323,God: The Most Unpleasant Character in All Fiction,30.03,5,Religion,Autor Desconocido
324,The Book of Mormon,24.57,3,Religion,Trey Parker
325,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,1,Religion,Edward Tylor
326,The Bhagavad Gita,57.49,3,Religion,Macmillan Publishers
327,Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,4,Religion,Autor Desconocido
328,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,Nonfiction,Kader Khan. Released
329,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,Nonfiction,Greg Daniels
330,Reasons to Stay Alive,26.41,2,Nonfiction,Amir Amor
331,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,Nonfiction,Autor Desconocido
332,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,Nonfiction,Autor Desconocido
333,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,Nonfiction,Ruhollah Khomeini
334,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,Nonfiction,Kelly Bishop
335,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,Nonfiction,Autor Desconocido
336,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,Nonfiction,One World Trade Center
337,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,Nonfiction,Autor Desconocido
338,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,Nonfiction,Klaus Schwab
339,In the Country We Love: My Family Divided,22.0,4,Nonfiction,Autor Desconocido
340,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,Nonfiction,Autor Desconocido
341,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,Nonfiction,Autor Desconocido
342,Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,Nonfiction,MIT Technology Review
